reference_text,original_transcription,adjusted_transcription,original_confidence,adjusted_confidence,original_duration,adjusted_duration,original_wer,adjusted_wer,phoneme_analysis,wav_file
ship,ht is ship,hth is shop,"{'mean_confidence': 0.9561456441879272, 'min_confidence': 0.2275281548500061, 'max_confidence': 0.9999817609786987}","{'mean_confidence': 0.9468026757240295, 'min_confidence': 0.18443717062473297, 'max_confidence': 0.9999511241912842}",3.0,3.2511875,2.0,3.0,"{'original_duration': 3.0, 'adjusted_duration': 3.2511875, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 5.1541875, 'total_adjusted_duration': 5.585733464172303, 'tempo_ratio': 0.922741397}, 'sh': {'count': 1, 'total_original_duration': 1.0749375, 'total_adjusted_duration': 0.9889452165138364, 'tempo_ratio': 1.086953536}, 'ih': {'count': 1, 'total_original_duration': 0.882, 'total_adjusted_duration': 0.7115753274363688, 'tempo_ratio': 1.239503347}, 'pcl': {'count': 1, 'total_original_duration': 0.813125, 'total_adjusted_duration': 0.6097559635863615, 'tempo_ratio': 1.333525293}, 'p': {'count': 1, 'total_original_duration': 0.3169375, 'total_adjusted_duration': 0.2348526302051844, 'tempo_ratio': 1.349516502}}}",0018.wav
park,color,holo,"{'mean_confidence': 0.9892805814743042, 'min_confidence': 0.6704726815223694, 'max_confidence': 0.9999984502792358}","{'mean_confidence': 0.9771405458450317, 'min_confidence': 0.6883787512779236, 'max_confidence': 0.999991774559021}",1.65,1.2620625,1.0,1.0,"{'original_duration': 1.65, 'adjusted_duration': 1.2620625, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 0.651, 'total_adjusted_duration': 0.7055064421261681, 'tempo_ratio': 0.922741397}, 'pcl': {'count': 1, 'total_original_duration': 1.35825, 'total_adjusted_duration': 1.0185408609268876, 'tempo_ratio': 1.333525293}, 'p': {'count': 1, 'total_original_duration': 0.6556875, 'total_adjusted_duration': 0.48586845661261874, 'tempo_ratio': 1.349516502}, 'aa': {'count': 1, 'total_original_duration': 0.56675, 'total_adjusted_duration': 0.437926686632734, 'tempo_ratio': 1.294166392}, 'r': {'count': 1, 'total_original_duration': 0.5666875, 'total_adjusted_duration': 0.5112034147358819, 'tempo_ratio': 1.108536218}, 'kcl': {'count': 1, 'total_original_duration': 0.4403125, 'total_adjusted_duration': 0.32265295275245626, 'tempo_ratio': 1.364662856}, 'k': {'count': 1, 'total_original_duration': 0.290375, 'total_adjusted_duration': 0.20379401752072698, 'tempo_ratio': 1.424845555}}}",0019.wav
grandfather likes to be modern in his language,god falisirf to be martan in is language,gard fal desive to be martan in is language,"{'mean_confidence': 0.9577231407165527, 'min_confidence': 0.3389425277709961, 'max_confidence': 0.9999996423721313}","{'mean_confidence': 0.9626379013061523, 'min_confidence': 0.3571658432483673, 'max_confidence': 0.9999995231628418}",8.25,7.2065,0.5,0.625,"{'original_duration': 8.25, 'adjusted_duration': 7.2065, 'phoneme_stats': {'noi': {'count': 3, 'total_original_duration': 3.741625, 'total_adjusted_duration': 4.054900985438286, 'tempo_ratio': 0.922741397}, 'gcl': {'count': 2, 'total_original_duration': 2.6459375, 'total_adjusted_duration': 2.5149558385089437, 'tempo_ratio': 1.052081098}, 'g': {'count': 2, 'total_original_duration': 0.6133124999999999, 'total_adjusted_duration': 0.525543085910132, 'tempo_ratio': 1.167007076}, 'r': {'count': 1, 'total_original_duration': 0.2205, 'total_adjusted_duration': 0.19891095700763112, 'tempo_ratio': 1.108536218}, 'ae': {'count': 2, 'total_original_duration': 0.7993125, 'total_adjusted_duration': 0.6381985411638669, 'tempo_ratio': 1.252451155}, 'n': {'count': 4, 'total_original_duration': 1.7846875, 'total_adjusted_duration': 1.4648576485615465, 'tempo_ratio': 1.218335107}, 'f': {'count': 1, 'total_original_duration': 0.6753125, 'total_adjusted_duration': 0.57084201835256, 'tempo_ratio': 1.183011198}, 'aa': {'count': 2, 'total_original_duration': 1.4539374999999999, 'total_adjusted_duration': 1.1234548424280206, 'tempo_ratio': 1.294166392}, 'dh': {'count': 1, 'total_original_duration': 0.6890625, 'total_adjusted_duration': 0.47603880139739685, 'tempo_ratio': 1.447492301}, 'er': {'count': 2, 'total_original_duration': 1.1163124999999998, 'total_adjusted_duration': 0.8163647271114438, 'tempo_ratio': 1.36741883}, 'l': {'count': 2, 'total_original_duration': 0.8613125, 'total_adjusted_duration': 0.7117796954862898, 'tempo_ratio': 1.210082987}, 'ay': {'count': 1, 'total_original_duration': 0.4685625, 'total_adjusted_duration': 0.4513677776634069, 'tempo_ratio': 1.038094705}, 'kcl': {'count': 1, 'total_original_duration': 0.17225, 'total_adjusted_duration': 0.12622165192132992, 'tempo_ratio': 1.364662856}, 'k': {'count': 1, 'total_original_duration': 0.165375, 'total_adjusted_duration': 0.11606521101158924, 'tempo_ratio': 1.424845555}, 'dcl': {'count': 2, 'total_original_duration': 0.46168750000000003, 'total_adjusted_duration': 0.4405487998091892, 'tempo_ratio': 1.047982653}, 's': {'count': 1, 'total_original_duration': 0.8130625, 'total_adjusted_duration': 0.6705127184105935, 'tempo_ratio': 1.212598177}, 'tcl': {'count': 1, 'total_original_duration': 0.317, 'total_adjusted_duration': 0.28954619142265897, 'tempo_ratio': 1.09481668}, 't': {'count': 1, 'total_original_duration': 0.29625, 'total_adjusted_duration': 0.25105883970305964, 'tempo_ratio': 1.180002267}, 'uw': {'count': 1, 'total_original_duration': 0.3445625, 'total_adjusted_duration': 0.29745043790268233, 'tempo_ratio': 1.158386259}, 'bcl': {'count': 1, 'total_original_duration': 0.275625, 'total_adjusted_duration': 0.25087260820205676, 'tempo_ratio': 1.098665183}, 'b': {'count': 1, 'total_original_duration': 0.565, 'total_adjusted_duration': 0.5039974967327447, 'tempo_ratio': 1.121037314}, 'iy': {'count': 1, 'total_original_duration': 0.42725, 'total_adjusted_duration': 0.33823098180942085, 'tempo_ratio': 1.263190018}, 'm': {'count': 1, 'total_original_duration': 0.3720625, 'total_adjusted_duration': 0.3008792286856643, 'tempo_ratio': 1.236584199}, 'd': {'count': 1, 'total_original_duration': 0.165375, 'total_adjusted_duration': 0.13532912950171438, 'tempo_ratio': 1.222020718}, 'ih': {'count': 2, 'total_original_duration': 0.840625, 'total_adjusted_duration': 0.6781950222519245, 'tempo_ratio': 1.239503347}, 'hh': {'count': 1, 'total_original_duration': 0.4134375, 'total_adjusted_duration': 0.34345095364621864, 'tempo_ratio': 1.2037745}, 'z': {'count': 1, 'total_original_duration': 0.70975, 'total_adjusted_duration': 0.47643453687228815, 'tempo_ratio': 1.489711482}, 'w': {'count': 1, 'total_original_duration': 0.227375, 'total_adjusted_duration': 0.17910852274602815, 'tempo_ratio': 1.269481745}, 'ah': {'count': 1, 'total_original_duration': 0.379, 'total_adjusted_duration': 0.2386932878918415, 'tempo_ratio': 1.58781172}, 'jh': {'count': 1, 'total_original_duration': 0.5788125, 'total_adjusted_duration': 0.4352163448353784, 'tempo_ratio': 1.329942009}}}",0020.wav
bubble,fer bo,for bor,"{'mean_confidence': 0.957164466381073, 'min_confidence': 0.4124285578727722, 'max_confidence': 0.9999831914901733}","{'mean_confidence': 0.9029593467712402, 'min_confidence': 0.33168476819992065, 'max_confidence': 0.999924898147583}",1.5,1.3228125,2.0,2.0,"{'original_duration': 1.5, 'adjusted_duration': 1.3228125, 'phoneme_stats': {'bcl': {'count': 1, 'total_original_duration': 1.20925, 'total_adjusted_duration': 1.1006537921753727, 'tempo_ratio': 1.098665183}, 'b': {'count': 2, 'total_original_duration': 0.49812500000000004, 'total_adjusted_duration': 0.4443429257699088, 'tempo_ratio': 1.121037314}, 'ah': {'count': 2, 'total_original_duration': 0.732375, 'total_adjusted_duration': 0.46124801245326497, 'tempo_ratio': 1.58781172}, 'l': {'count': 1, 'total_original_duration': 0.323625, 'total_adjusted_duration': 0.2674403354784129, 'tempo_ratio': 1.210082987}, 'noi': {'count': 1, 'total_original_duration': 1.3496875, 'total_adjusted_duration': 1.4626931276607718, 'tempo_ratio': 0.922741397}}}",0021.wav
bit,bit,play it,"{'mean_confidence': 0.9291349649429321, 'min_confidence': 0.24980875849723816, 'max_confidence': 0.9999500513076782}","{'mean_confidence': 0.9947718381881714, 'min_confidence': 0.9252898097038269, 'max_confidence': 0.9999983310699463}",1.35,1.212125,0.0,2.0,"{'original_duration': 1.35, 'adjusted_duration': 1.212125, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 1.1304375, 'total_adjusted_duration': 1.2250859272980033, 'tempo_ratio': 0.922741397}, 'bcl': {'count': 1, 'total_original_duration': 0.68975, 'total_adjusted_duration': 0.6278072798453284, 'tempo_ratio': 1.098665183}, 'b': {'count': 1, 'total_original_duration': 0.145625, 'total_adjusted_duration': 0.1299020096667362, 'tempo_ratio': 1.121037314}, 'ih': {'count': 1, 'total_original_duration': 0.8085625, 'total_adjusted_duration': 0.6523278069050668, 'tempo_ratio': 1.239503347}, 'tcl': {'count': 1, 'total_original_duration': 0.2950625, 'total_adjusted_duration': 0.2695085902417928, 'tempo_ratio': 1.09481668}, 't': {'count': 1, 'total_original_duration': 0.6323125, 'total_adjusted_duration': 0.535857021366214, 'tempo_ratio': 1.180002267}}}",0022.wav
well he is nearly ninety three years old,baje is nearly nineted thre years old,baje is nearly ninetethre years old,"{'mean_confidence': 0.9755409359931946, 'min_confidence': 0.5240307450294495, 'max_confidence': 0.9999997615814209}","{'mean_confidence': 0.9711874723434448, 'min_confidence': 0.47944602370262146, 'max_confidence': 0.9999997615814209}",6.6,5.769,0.5,0.5,"{'original_duration': 6.6, 'adjusted_duration': 5.769, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 3.1835, 'total_adjusted_duration': 3.4500457119948633, 'tempo_ratio': 0.922741397}, 'w': {'count': 1, 'total_original_duration': 0.5099375, 'total_adjusted_duration': 0.40168950991886854, 'tempo_ratio': 1.269481745}, 'eh': {'count': 1, 'total_original_duration': 0.5994375, 'total_adjusted_duration': 0.4613366132001566, 'tempo_ratio': 1.299349505}, 'l': {'count': 2, 'total_original_duration': 0.7924375, 'total_adjusted_duration': 0.6548621115354959, 'tempo_ratio': 1.210082987}, 'hh': {'count': 1, 'total_original_duration': 0.5236875, 'total_adjusted_duration': 0.4350378746185436, 'tempo_ratio': 1.2037745}, 'iy': {'count': 4, 'total_original_duration': 1.770875, 'total_adjusted_duration': 1.4019070565518037, 'tempo_ratio': 1.263190018}, 'ih': {'count': 3, 'total_original_duration': 2.2119375000000003, 'total_adjusted_duration': 1.784535318402815, 'tempo_ratio': 1.239503347}, 'dcl': {'count': 3, 'total_original_duration': 1.4470625, 'total_adjusted_duration': 1.3808076840371135, 'tempo_ratio': 1.047982653}, 'z': {'count': 2, 'total_original_duration': 0.9233125, 'total_adjusted_duration': 0.6197928331467342, 'tempo_ratio': 1.489711482}, 'n': {'count': 3, 'total_original_duration': 1.2816874999999999, 'total_adjusted_duration': 1.051999152479483, 'tempo_ratio': 1.218335107}, 'r': {'count': 3, 'total_original_duration': 1.30925, 'total_adjusted_duration': 1.181061997561184, 'tempo_ratio': 1.108536218}, 'ay': {'count': 1, 'total_original_duration': 0.4271875, 'total_adjusted_duration': 0.41151110581957934, 'tempo_ratio': 1.038094705}, 'tcl': {'count': 1, 'total_original_duration': 0.165375, 'total_adjusted_duration': 0.15105268582499126, 'tempo_ratio': 1.09481668}, 't': {'count': 1, 'total_original_duration': 0.3583125, 'total_adjusted_duration': 0.3036540776408525, 'tempo_ratio': 1.180002267}, 'th': {'count': 1, 'total_original_duration': 0.447875, 'total_adjusted_duration': 0.39297356095729585, 'tempo_ratio': 1.139707717}, 'y': {'count': 1, 'total_original_duration': 0.571875, 'total_adjusted_duration': 0.44269125230504835, 'tempo_ratio': 1.291814548}, 'ow': {'count': 1, 'total_original_duration': 1.0611875, 'total_adjusted_duration': 0.9665514500449978, 'tempo_ratio': 1.097911032}, 'd': {'count': 1, 'total_original_duration': 0.571875, 'total_adjusted_duration': 0.46797488092996475, 'tempo_ratio': 1.222020718}}}",0023.wav
trouble,tral bal,truble,"{'mean_confidence': 0.9659972190856934, 'min_confidence': 0.4334218204021454, 'max_confidence': 0.9999986886978149}","{'mean_confidence': 0.9914711117744446, 'min_confidence': 0.7158728241920471, 'max_confidence': 0.9999995231628418}",1.95,1.7531875,2.0,1.0,"{'original_duration': 1.95, 'adjusted_duration': 1.7531875, 'phoneme_stats': {'tcl': {'count': 1, 'total_original_duration': 1.4613125, 'total_adjusted_duration': 1.3347554222502345, 'tempo_ratio': 1.09481668}, 't': {'count': 1, 'total_original_duration': 0.4095625, 'total_adjusted_duration': 0.34708619758948306, 'tempo_ratio': 1.180002267}, 'r': {'count': 1, 'total_original_duration': 0.1495, 'total_adjusted_duration': 0.13486253094168185, 'tempo_ratio': 1.108536218}, 'ah': {'count': 2, 'total_original_duration': 0.8800625000000001, 'total_adjusted_duration': 0.5542612445258939, 'tempo_ratio': 1.58781172}, 'bcl': {'count': 1, 'total_original_duration': 0.0719375, 'total_adjusted_duration': 0.06547718186860937, 'tempo_ratio': 1.098665183}, 'b': {'count': 1, 'total_original_duration': 0.2214375, 'total_adjusted_duration': 0.19752910740311005, 'tempo_ratio': 1.121037314}, 'l': {'count': 1, 'total_original_duration': 0.27675, 'total_adjusted_duration': 0.2287033228077274, 'tempo_ratio': 1.210082987}, 'noi': {'count': 1, 'total_original_duration': 1.8764375, 'total_adjusted_duration': 2.033546458520924, 'tempo_ratio': 0.922741397}}}",0024.wav
chair,car,cer,"{'mean_confidence': 0.9453929662704468, 'min_confidence': 0.47851794958114624, 'max_confidence': 0.9999290704727173}","{'mean_confidence': 0.9388774037361145, 'min_confidence': 0.3781193494796753, 'max_confidence': 0.9998924732208252}",1.8,1.7240625,1.0,1.0,"{'original_duration': 1.8, 'adjusted_duration': 1.7240625, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 3.1371875, 'total_adjusted_duration': 3.3998555935601966, 'tempo_ratio': 0.922741397}, 'ch': {'count': 1, 'total_original_duration': 0.531375, 'total_adjusted_duration': 0.5165351120388936, 'tempo_ratio': 1.028729679}, 'eh': {'count': 1, 'total_original_duration': 0.6846875, 'total_adjusted_duration': 0.5269463661357227, 'tempo_ratio': 1.299349505}, 'r': {'count': 1, 'total_original_duration': 0.5875625, 'total_adjusted_duration': 0.530034554089779, 'tempo_ratio': 1.108536218}}}",0025.wav
raid,vary inlit,vary lit,"{'mean_confidence': 0.9391707181930542, 'min_confidence': 0.3971129357814789, 'max_confidence': 0.9999955892562866}","{'mean_confidence': 0.9417585730552673, 'min_confidence': 0.585510790348053, 'max_confidence': 0.9999959468841553}",1.5,1.4483125,2.0,2.0,"{'original_duration': 1.5, 'adjusted_duration': 1.4483125, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 1.8947500000000002, 'total_adjusted_duration': 2.05339221385339, 'tempo_ratio': 0.922741397}, 'r': {'count': 1, 'total_original_duration': 0.621625, 'total_adjusted_duration': 0.560762012017545, 'tempo_ratio': 1.108536218}, 'ey': {'count': 1, 'total_original_duration': 1.1240625, 'total_adjusted_duration': 0.9832409340888809, 'tempo_ratio': 1.14322183}, 'dcl': {'count': 1, 'total_original_duration': 0.187375, 'total_adjusted_duration': 0.17879589844699462, 'tempo_ratio': 1.047982653}, 'd': {'count': 1, 'total_original_duration': 0.2895, 'total_adjusted_duration': 0.23690269382159523, 'tempo_ratio': 1.222020718}}}",0026.wav
the,role,role,"{'mean_confidence': 0.9580702781677246, 'min_confidence': 0.36486783623695374, 'max_confidence': 0.9999721050262451}","{'mean_confidence': 0.9389994144439697, 'min_confidence': 0.4496901035308838, 'max_confidence': 0.9999113082885742}",1.5,1.1583125,1.0,1.0,"{'original_duration': 1.5, 'adjusted_duration': 1.1583125, 'phoneme_stats': {'dcl': {'count': 1, 'total_original_duration': 0.4981875, 'total_adjusted_duration': 0.47537762058738964, 'tempo_ratio': 1.047982653}, 'dh': {'count': 1, 'total_original_duration': 0.8515625, 'total_adjusted_duration': 0.5883019200942886, 'tempo_ratio': 1.447492301}, 'ah': {'count': 1, 'total_original_duration': 0.8600625, 'total_adjusted_duration': 0.5416652926582505, 'tempo_ratio': 1.58781172}, 'noi': {'count': 1, 'total_original_duration': 1.9075, 'total_adjusted_duration': 2.067209736337428, 'tempo_ratio': 0.922741397}}}",0027.wav
