reference_text,original_transcription,adjusted_transcription,original_confidence,adjusted_confidence,original_duration,adjusted_duration,original_wer,adjusted_wer,phoneme_analysis,wav_file
FEET,THINK O,FIGURE,"{'mean_confidence': 0.9672141075134277, 'min_confidence': 0.45215094089508057, 'max_confidence': 0.9999829530715942}","{'mean_confidence': 0.980542778968811, 'min_confidence': 0.6296477317810059, 'max_confidence': 0.9999616146087646}",2.575,2.2188125,2.0,1.0,"{'original_duration': 2.575, 'adjusted_duration': 2.2188125, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 1.9275000000000002, 'total_adjusted_duration': 1.8284373835467993, 'tempo_ratio': 1.05417884}, 'f': {'count': 1, 'total_original_duration': 0.0875, 'total_adjusted_duration': 0.05365931676116909, 'tempo_ratio': 1.630658109}, 'iy': {'count': 1, 'total_original_duration': 0.205, 'total_adjusted_duration': 0.13178610751663253, 'tempo_ratio': 1.555550914}, 't': {'count': 1, 'total_original_duration': 0.3375, 'total_adjusted_duration': 0.20485796412816867, 'tempo_ratio': 1.647482935}}}",0012.wav
FORM,FORM,WAT,"{'mean_confidence': 0.9636086821556091, 'min_confidence': 0.3548153340816498, 'max_confidence': 0.9999966621398926}","{'mean_confidence': 0.966622531414032, 'min_confidence': 0.3253212869167328, 'max_confidence': 0.9999687671661377}",2.3,1.920375,0.0,1.0,"{'original_duration': 2.3, 'adjusted_duration': 1.920375, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 1.5964999999999998, 'total_adjusted_duration': 1.514448914569372, 'tempo_ratio': 1.05417884}, 'f': {'count': 1, 'total_original_duration': 0.1824375, 'total_adjusted_duration': 0.11187967544703756, 'tempo_ratio': 1.630658109}, 'ao': {'count': 1, 'total_original_duration': 0.135, 'total_adjusted_duration': 0.07829773109304625, 'tempo_ratio': 1.724187893}, 'r': {'count': 1, 'total_original_duration': 0.052125, 'total_adjusted_duration': 0.03326476360982381, 'tempo_ratio': 1.566973408}, 'm': {'count': 1, 'total_original_duration': 0.31975, 'total_adjusted_duration': 0.18249517668672474, 'tempo_ratio': 1.752101101}}}",0013.wav
SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR,TADMEI DONE LUDINGIN GRETLY WHA WAT WATER AR YOU,TRETSN YET DAN IN IN WELY LIT WATCH WATER AR YOU,"{'mean_confidence': 0.9514931440353394, 'min_confidence': 0.24718856811523438, 'max_confidence': 0.9999923706054688}","{'mean_confidence': 0.9265618920326233, 'min_confidence': 0.35148683190345764, 'max_confidence': 0.9999741315841675}",12.82,9.5619375,0.9090909090909091,0.9090909090909091,"{'original_duration': 12.82, 'adjusted_duration': 9.5619375, 'phoneme_stats': {'noi': {'count': 10, 'total_original_duration': 5.6425, 'total_adjusted_duration': 5.352507360136349, 'tempo_ratio': 1.05417884}, 'sh': {'count': 1, 'total_original_duration': 0.245, 'total_adjusted_duration': 0.16356455724202282, 'tempo_ratio': 1.497879517}, 'iy': {'count': 3, 'total_original_duration': 0.825, 'total_adjusted_duration': 0.5303587253718139, 'tempo_ratio': 1.555550914}, 'ae': {'count': 1, 'total_original_duration': 0.2125, 'total_adjusted_duration': 0.12138408152692318, 'tempo_ratio': 1.750641413}, 'd': {'count': 4, 'total_original_duration': 0.76, 'total_adjusted_duration': 0.42448229282224875, 'tempo_ratio': 1.790416262}, 'y': {'count': 2, 'total_original_duration': 0.40750000000000003, 'total_adjusted_duration': 0.2098598163000776, 'tempo_ratio': 1.941772404}, 'ao': {'count': 3, 'total_original_duration': 0.835, 'total_adjusted_duration': 0.48428596639032306, 'tempo_ratio': 1.724187893}, 'dcl': {'count': 1, 'total_original_duration': 0.0975, 'total_adjusted_duration': 0.06258180075199601, 'tempo_ratio': 1.557960922}, 'aa': {'count': 2, 'total_original_duration': 0.7250000000000001, 'total_adjusted_duration': 0.3872871552193595, 'tempo_ratio': 1.871995986}, 'th': {'count': 2, 'total_original_duration': 0.28, 'total_adjusted_duration': 0.1946660119473957, 'tempo_ratio': 1.438361002}, 'uw': {'count': 1, 'total_original_duration': 0.1, 'total_adjusted_duration': 0.05539546733280322, 'tempo_ratio': 1.805201848}, 'ih': {'count': 3, 'total_original_duration': 0.95, 'total_adjusted_duration': 0.5706664089384986, 'tempo_ratio': 1.664720378}, 'n': {'count': 1, 'total_original_duration': 0.2325, 'total_adjusted_duration': 0.13377663330726808, 'tempo_ratio': 1.737971679}, 'gcl': {'count': 1, 'total_original_duration': 0.155, 'total_adjusted_duration': 0.11331602546309932, 'tempo_ratio': 1.367855953}, 'g': {'count': 1, 'total_original_duration': 0.055, 'total_adjusted_duration': 0.03519586098927301, 'tempo_ratio': 1.562683749}, 'r': {'count': 2, 'total_original_duration': 0.1625, 'total_adjusted_duration': 0.10370309998266417, 'tempo_ratio': 1.566973408}, 'w': {'count': 2, 'total_original_duration': 0.9025, 'total_adjusted_duration': 0.5141130011581083, 'tempo_ratio': 1.755450646}, 'er': {'count': 1, 'total_original_duration': 0.2125, 'total_adjusted_duration': 0.10497874290622076, 'tempo_ratio': 2.024219324}}}",0014.wav
UP,UP,A,"{'mean_confidence': 0.9913235306739807, 'min_confidence': 0.4876035153865814, 'max_confidence': 0.9999881982803345}","{'mean_confidence': 0.9781920313835144, 'min_confidence': 0.293080598115921, 'max_confidence': 0.9999867677688599}",2.745,2.358375,0.0,1.0,"{'original_duration': 2.745, 'adjusted_duration': 2.358375, 'phoneme_stats': {'noi': {'count': 3, 'total_original_duration': 1.9874999999999998, 'total_adjusted_duration': 1.8853537223342482, 'tempo_ratio': 1.05417884}, 'sil': {'count': 1, 'total_original_duration': 0.14, 'total_adjusted_duration': 0.14, 'tempo_ratio': 1.0}, 'ah': {'count': 1, 'total_original_duration': 0.2675, 'total_adjusted_duration': 0.12618523539137705, 'tempo_ratio': 2.119899362}, 'pcl': {'count': 1, 'total_original_duration': 0.07, 'total_adjusted_duration': 0.041930561648132726, 'tempo_ratio': 1.66942672}, 'p': {'count': 1, 'total_original_duration': 0.27, 'total_adjusted_duration': 0.1648979741513741, 'tempo_ratio': 1.637376089}}}",0015.wav
JACKET,JACKGID,SECOND,"{'mean_confidence': 0.9694848656654358, 'min_confidence': 0.33411723375320435, 'max_confidence': 0.9999840259552002}","{'mean_confidence': 0.9846017360687256, 'min_confidence': 0.6247779726982117, 'max_confidence': 0.99997878074646}",3.115,2.5560625,1.0,1.0,"{'original_duration': 3.115, 'adjusted_duration': 2.5560625, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 2.065, 'total_adjusted_duration': 1.9588706599347032, 'tempo_ratio': 1.05417884}, 'dcl': {'count': 1, 'total_original_duration': 0.205, 'total_adjusted_duration': 0.13158224773496596, 'tempo_ratio': 1.557960922}, 'jh': {'count': 1, 'total_original_duration': 0.125, 'total_adjusted_duration': 0.06555548727703901, 'tempo_ratio': 1.906781647}, 'ae': {'count': 1, 'total_original_duration': 0.1175, 'total_adjusted_duration': 0.06711825684429869, 'tempo_ratio': 1.750641413}, 'kcl': {'count': 1, 'total_original_duration': 0.07, 'total_adjusted_duration': 0.03558605016605044, 'tempo_ratio': 1.967062927}, 'k': {'count': 1, 'total_original_duration': 0.0775, 'total_adjusted_duration': 0.039019599484403575, 'tempo_ratio': 1.98618133}, 'ih': {'count': 1, 'total_original_duration': 0.2325, 'total_adjusted_duration': 0.1396630948191589, 'tempo_ratio': 1.664720378}, 'd': {'count': 1, 'total_original_duration': 0.2125, 'total_adjusted_duration': 0.11868748319043139, 'tempo_ratio': 1.790416262}}}",0016.wav
STORM,DOM,DON,"{'mean_confidence': 0.9860835075378418, 'min_confidence': 0.47532349824905396, 'max_confidence': 0.9999915361404419}","{'mean_confidence': 0.9777913093566895, 'min_confidence': 0.3668003976345062, 'max_confidence': 0.9999910593032837}",3.13,2.7380625,1.0,1.0,"{'original_duration': 3.13, 'adjusted_duration': 2.7380625, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 2.505, 'total_adjusted_duration': 2.376257144375996, 'tempo_ratio': 1.05417884}, 'tcl': {'count': 1, 'total_original_duration': 0.0925, 'total_adjusted_duration': 0.05521324379032107, 'tempo_ratio': 1.675322688}, 't': {'count': 1, 'total_original_duration': 0.075, 'total_adjusted_duration': 0.04552399202848192, 'tempo_ratio': 1.647482935}, 'ao': {'count': 1, 'total_original_duration': 0.1475, 'total_adjusted_duration': 0.08554752100906904, 'tempo_ratio': 1.724187893}, 'r': {'count': 1, 'total_original_duration': 0.085, 'total_adjusted_duration': 0.05424469845247049, 'tempo_ratio': 1.566973408}, 'm': {'count': 1, 'total_original_duration': 0.2125, 'total_adjusted_duration': 0.12128295557757314, 'tempo_ratio': 1.752101101}}}",0017.wav
GO,GO,GO,"{'mean_confidence': 0.9951131343841553, 'min_confidence': 0.6164439916610718, 'max_confidence': 0.9999961853027344}","{'mean_confidence': 0.984893262386322, 'min_confidence': 0.5180566310882568, 'max_confidence': 0.9999841451644897}",2.725,2.36275,0.0,0.0,"{'original_duration': 2.725, 'adjusted_duration': 2.36275, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 2.025, 'total_adjusted_duration': 1.9209264340764038, 'tempo_ratio': 1.05417884}, 'gcl': {'count': 1, 'total_original_duration': 0.14, 'total_adjusted_duration': 0.1023499584827994, 'tempo_ratio': 1.367855953}, 'g': {'count': 1, 'total_original_duration': 0.09, 'total_adjusted_duration': 0.05759322707335583, 'tempo_ratio': 1.562683749}, 'ow': {'count': 1, 'total_original_duration': 0.46, 'total_adjusted_duration': 0.2818517850012379, 'tempo_ratio': 1.632063462}}}",0018.wav
SHEET,UD,HUT,"{'mean_confidence': 0.9670921564102173, 'min_confidence': 0.2913968563079834, 'max_confidence': 0.999996542930603}","{'mean_confidence': 0.9826902747154236, 'min_confidence': 0.3297099173069, 'max_confidence': 0.9999922513961792}",3.1,2.7298125,1.0,1.0,"{'original_duration': 3.1, 'adjusted_duration': 2.7298125, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 2.455, 'total_adjusted_duration': 2.3288268620531216, 'tempo_ratio': 1.05417884}, 'sh': {'count': 1, 'total_original_duration': 0.19, 'total_adjusted_duration': 0.126845983167283, 'tempo_ratio': 1.497879517}, 'iy': {'count': 1, 'total_original_duration': 0.16, 'total_adjusted_duration': 0.10285744976907905, 'tempo_ratio': 1.555550914}, 'tcl': {'count': 1, 'total_original_duration': 0.0275, 'total_adjusted_duration': 0.016414748153879236, 'tempo_ratio': 1.675322688}, 't': {'count': 1, 'total_original_duration': 0.255, 'total_adjusted_duration': 0.15478157289683853, 'tempo_ratio': 1.647482935}}}",0019.wav
SPARK,BURG,BUT,"{'mean_confidence': 0.9809186458587646, 'min_confidence': 0.4380492866039276, 'max_confidence': 0.9999885559082031}","{'mean_confidence': 0.9839017391204834, 'min_confidence': 0.5568769574165344, 'max_confidence': 0.9999568462371826}",2.955,2.5883125,1.0,1.0,"{'original_duration': 2.955, 'adjusted_duration': 2.5883125, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 2.3425000000000002, 'total_adjusted_duration': 2.222108726826655, 'tempo_ratio': 1.05417884}, 'bcl': {'count': 1, 'total_original_duration': 0.1925, 'total_adjusted_duration': 0.11934492718897116, 'tempo_ratio': 1.612971783}, 'b': {'count': 1, 'total_original_duration': 0.105, 'total_adjusted_duration': 0.06275553808568879, 'tempo_ratio': 1.673159106}, 'aa': {'count': 1, 'total_original_duration': 0.105, 'total_adjusted_duration': 0.05608986385935552, 'tempo_ratio': 1.871995986}, 'g': {'count': 1, 'total_original_duration': 0.2, 'total_adjusted_duration': 0.12798494905190186, 'tempo_ratio': 1.562683749}}}",0020.wav
YES,YESTRM,YET,"{'mean_confidence': 0.9684891104698181, 'min_confidence': 0.31153035163879395, 'max_confidence': 0.9999866485595703}","{'mean_confidence': 0.9588280916213989, 'min_confidence': 0.46570777893066406, 'max_confidence': 0.9999946355819702}",2.435,2.0275625,1.0,1.0,"{'original_duration': 2.435, 'adjusted_duration': 2.0275625, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 1.6875, 'total_adjusted_duration': 1.600772028397003, 'tempo_ratio': 1.05417884}, 'y': {'count': 1, 'total_original_duration': 0.285, 'total_adjusted_duration': 0.14677312305649595, 'tempo_ratio': 1.941772404}, 'eh': {'count': 1, 'total_original_duration': 0.215, 'total_adjusted_duration': 0.13588451551963313, 'tempo_ratio': 1.582225901}, 't': {'count': 1, 'total_original_duration': 0.2375, 'total_adjusted_duration': 0.14415930809019276, 'tempo_ratio': 1.647482935}}}",0021.wav
FEE,BT,PT,"{'mean_confidence': 0.9665601849555969, 'min_confidence': 0.40872180461883545, 'max_confidence': 0.9999918937683105}","{'mean_confidence': 0.9664420485496521, 'min_confidence': 0.48138952255249023, 'max_confidence': 0.9999655485153198}",2.75,2.4124375,1.0,1.0,"{'original_duration': 2.75, 'adjusted_duration': 2.4124375, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 2.1375, 'total_adjusted_duration': 2.0276445693028706, 'tempo_ratio': 1.05417884}, 'f': {'count': 1, 'total_original_duration': 0.085, 'total_adjusted_duration': 0.05212619342513569, 'tempo_ratio': 1.630658109}, 'iy': {'count': 1, 'total_original_duration': 0.5175, 'total_adjusted_duration': 0.33267956409686505, 'tempo_ratio': 1.555550914}}}",0022.wav
